324,5181,697
572,7905,987
511,8781,1050
376,7852,224
729,9009,1216
283,6250,954
211,8535,954
100,7141,1542
665,9184,866
531,7997,697
571,9245,1024
154,5897,1449
728,8321,1216
518,8446,1050
580,9338,1050
85,5785,1449
640,5807,866
292,6358,954
478,5434,987
485,9479,954
277,7158,954
198,6297,1449
811,5715,1660
210,8082,954
539,6825,1024
295,9186,679
254,7127,224
81,6404,261
413,7503,605
532,7247,987
567,6992,933
517,9505,954
537,9582,1024
690,7465,421
460,9400,978
60,7573,234
392,9908,543
67,9515,183
327,8962,859
334,3214,671
399,5432,679
499,6537,978
410,9873,954
374,4321,956
67,7689,680
522,5543,873
520,2332,1050
70,1234,95
